symbolCode	name	code	tradePrice
A095570	AJ네트웍스	KR7095570008	4555.0	
A068400	AJ렌터카	KR7068400001	10100.0	
A006840	AK홀딩스	KR7006840003	37450.0	
A152100	ARIRANG 200	KR7152100004	25875.0	
A295820	ARIRANG 200동일가중	KR7295820005	7695.0	
A295890	ARIRANG 200로우볼	KR7295890008	8280.0	
A295860	ARIRANG 200모멘텀	KR7295860001	7970.0	
A295840	ARIRANG 200밸류	KR7295840003	8055.0	
A253150	ARIRANG 200선물레버리지	KR7253150007	19575.0	
A253160	ARIRANG 200선물인버스2X	KR7253160006	16800.0	
A295880	ARIRANG 200퀄리티	KR7295880009	8095.0	
A278420	ARIRANG ESG우수기업	KR7278420005	7825.0	
A292750	ARIRANG KRX300	KR7292750007	11705.0	
A309170	ARIRANG KRX300IT	KR7309170009	10320.0	
A309180	ARIRANG KRX300금융	KR7309180008	9240.0	
A309190	ARIRANG KRX300산업재	KR7309190007	9460.0	
A309200	ARIRANG KRX300자유소비재	KR7309200004	11110.0	
A309210	ARIRANG KRX300헬스케어	KR7309210003	7015.0	
A269530	ARIRANG S&P글로벌인프라	KR7269530002	11725.0	
A251590	ARIRANG 고배당저변동50	KR7251590006	9570.0	
A161510	ARIRANG 고배당주	KR7161510003	11185.0	
A251600	ARIRANG 고배당주채권혼합	KR7251600003	10335.0	
A289670	ARIRANG 국채선물10년	KR7289670002	58580.0	
A298340	ARIRANG 국채선물3년	KR7298340001	52580.0	
A189400	ARIRANG 글로벌MSCI(합성 H)	KR7189400005	13060.0	
A263190	ARIRANG 단기우량채권	KR7263190001	52395.0	
A190160	ARIRANG 단기유동성	KR7190160002	110670.0	
A278620	ARIRANG 단기채권액티브	KR7278620000	104120.0	
A269540	ARIRANG 미국S&P500(H)	KR7269540001	12150.0	
A287180	ARIRANG 미국나스닥기술주	KR7287180004	13040.0	
A213630	ARIRANG 미국다우존스고배당주(합성 H)	KR7213630007	13030.0	
A195970	ARIRANG 선진국MSCI(합성 H)	KR7195970009	10015.0	
A236460	ARIRANG 스마트베타 LowVOL	KR7236460002	9050.0	
A222190	ARIRANG 스마트베타 Momentum	KR7222190001	7590.0	
A222200	ARIRANG 스마트베타 Quality	KR7222200008	8455.0	
A222180	ARIRANG 스마트베타 Value	KR7222180002	8455.0	
A238670	ARIRANG 스마트베타Quality채권혼합	KR7238670004	10060.0	
A195980	ARIRANG 신흥국MSCI(합성 H)	KR7195980008	9950.0	
