,Unnamed: 0,code,영업이익,유동자산,단기금융자산,현금및현금성자산,매출채권및기타채권,비유동자산,투자부동산,투자자산,유동부채,비유동부채,발행주식수,평균영업이익,최근_유동자산,최근_투자부동산,최근_투자자산,최근_유동부채,최근_비유동부채,최근_발행주식수,종목명,시가총액,섹터코드,섹터명
0,0,1880,"['675.0', '897.4', '921.3', '837.8', '909.0']","['4,396.6', '6,066.3', '6,267.4', '6,431.8', '6,957.1']","['600.0', '1,945.1', '1,949.0', '765.0', '919.2']","['1,661.3', '1,835.8', '1,714.5', '3,306.8', '3,301.9']","['1,841.1', '2,064.6', '2,326.0', '2,125.7', '2,534.5']","['2,145.7', '1,001.9', '1,127.1', '1,286.1', '1,003.9']","['8.7', '7.9', '13.6', '12.7', '12.4']","['1,533.2', '395.9', '575.6', '744.1', '468.5']","['2,516.2', '4,551.8', '2,772.3', '2,397.3', '3,098.7']","['2,602.1', '684.8', '2,038.5', '2,094.9', '1,186.0']","['15.2', '15.2', '15.2', '15.2', '15.2']",848.1,"6,957.1",12.4,468.5,"3,098.7","1,186.0",15.2,삼호,274753764600.0,018,건설업
1,1,10400,"['101.9', '112.9', '133.5', '228.1', '179.8']","['435.4', '452.3', '539.6', '671.4', '947.9']","['181.0', '178.3', '200.4', '135.0', '182.2']","['75.7', '116.6', '97.0', '85.5', '305.4']","['132.7', '105.7', '193.0', '392.3', '247.8']","['140.0', '171.9', '250.5', '305.6', '274.3']","['', '', '1.0', '1.0', '0.9']","['69.8', '67.4', '115.2', '149.1', '100.0']","['147.8', '127.5', '175.9', '194.0', '116.5']","['7.3', '3.8', '15.8', '12.9', '14.6']","['0.6', '0.6', '0.6', '0.6', '7.6']",151.24,947.9,0.9,100.0,116.5,14.6,7.6,우진아이엔에스,96418300000.0,018,건설업
2,2,2990,"['398.2', '207.8', '418.0', '310.5', '422.6']","['7,992.4', '6,744.5', '7,378.2', '6,544.0', '6,188.8']","['174.4', '103.2', '857.3', '775.5', '757.9']","['1,734.9', '1,178.5', '713.5', '540.9', '417.2']","['5,123.2', '4,468.6', '4,921.5', '4,324.2', '3,753.7']","['7,051.3', '6,355.8', '5,367.8', '6,304.8', '5,633.3']","['28.1', '27.7', '27.2', '26.8', '26.3']","['5,022.4', '4,513.8', '4,047.5', '5,133.3', '4,516.0']","['7,733.2', '7,735.4', '6,974.2', '6,730.1', '6,397.4']","['4,301.4', '2,463.3', '2,659.2', '2,191.7', '1,861.8']","['34.3', '35.1', '35.4', '36.1', '36.3']",351.41999999999996,"6,188.8",26.3,"4,516.0","6,397.4","1,861.8",36.3,금호산업,517107258150.0,018,건설업
3,3,13700,"['28.5', '40.3', '44.4', '100.9', '40.5']","['345.6', '629.8', '768.4', '412.1', '428.5']","['11.7', '31.4', '69.3', '2.0', '1.0']","['43.7', '32.3', '1.3', '54.8', '35.0']","['268.5', '538.9', '664.4', '330.9', '366.7']","['950.9', '664.9', '661.4', '987.3', '993.9']","['', '', '', '', '']","['147.6', '96.4', '94.9', '93.5', '115.0']","['824.4', '626.7', '806.2', '696.9', '623.8']","['115.1', '210.1', '112.5', '111.4', '203.0']","['4.5', '4.5', '4.5', '4.5', '45.2']",50.92,428.5,,115.0,623.8,203.0,45.2,까뮤이앤씨,60278293800.0,018,건설업
4,4,13580,"['-1,036.6', '361.0', '776.4', '1,149.7', '1,536.9']","['7,737.8', '6,973.3', '10,068.1', '10,145.1', '10,784.4']","['722.4', '627.5', '773.3', '580.3', '487.5']","['858.4', '1,378.7', '2,279.1', '1,587.7', '2,546.2']","['4,817.0', '3,379.1', '4,289.6', '3,906.5', '3,978.4']","['4,644.7', '5,273.6', '5,066.3', '5,684.1', '6,477.7']","['658.5', '641.5', '598.1', '564.2', '1,245.9']","['1,522.1', '2,196.9', '2,258.1', '2,533.0', '2,444.4']","['8,088.9', '7,887.8', '10,721.1', '9,658.7', '10,054.4']","['1,276.8', '1,179.8', '1,119.1', '2,347.2', '2,809.5']","['8.9', '8.9', '8.9', '8.9', '8.9']",557.48,"10,784.4","1,245.9","2,444.4","10,054.4","2,809.5",8.9,계룡건설,225058856400.0,018,건설업
5,5,28100,"['29.6', '39.8', '125.3', '203.3', '260.7']","['1,683.2', '1,770.8', '2,081.8', '1,752.4', '2,104.0']","['47.5', '37.2', '26.2', '73.4', '318.4']","['551.6', '548.9', '745.4', '785.5', '828.6']","['997.6', '1,084.3', '1,192.8', '797.9', '897.5']","['643.6', '823.5', '906.9', '824.0', '743.6']","['11.7', '11.5', '11.4', '11.2', '11.1']","['78.6', '72.9', '78.9', '94.0', '101.7']","['957.1', '1,140.5', '1,426.8', '996.7', '1,090.2']","['12.8', '70.0', '67.6', '17.3', '9.8']","['11.5', '11.5', '11.5', '11.5', '11.5']",131.74,"2,104.0",11.1,101.7,"1,090.2",9.8,11.5,동아지질,209875000000.0,018,건설업
6,6,39570,"['73.9', '121.9', '131.7', '147.9', '146.8']","['463.1', '1,247.8', '1,389.8', '1,617.5', '1,516.7']","['0.1', '620.7', '620.4', '542.1', '467.1']","['31.3', '105.6', '114.0', '207.8', '194.8']","['398.8', '504.9', '641.1', '836.1', '424.9']","['862.0', '935.5', '1,010.6', '1,141.6', '1,383.7']","['', '', '', '', '']","['798.7', '874.4', '941.9', '1,063.7', '1,281.3']","['620.8', '527.8', '579.7', '720.5', '718.3']","['69.6', '60.4', '62.4', '71.1', '105.8']","['0.6', '8.2', '8.2', '16.5', '16.5']",124.44000000000001,"1,516.7",,"1,281.3",718.3,105.8,16.5,HDC아이콘트롤스,187644000000.0,018,건설업
7,7,3070,"['78.0', '421.1', '606.9', '725.1', '767.6']","['12,448.7', '9,699.5', '10,003.3', '11,391.0', '9,484.6']","['1,031.4', '715.6', '607.8', '528.2', '566.4']","['306.7', '638.8', '667.3', '959.4', '827.2']","['8,275.8', '6,318.5', '5,890.8', '7,061.3', '5,945.1']","['9,732.0', '10,097.1', '10,833.7', '11,243.4', '10,849.5']","['78.6', '1,566.6', '2,364.1', '2,426.0', '2,909.7']","['1,840.2', '1,719.1', '2,018.8', '2,171.8', '1,886.8']","['14,495.9', '11,242.0', '13,042.1', '14,896.7', '12,578.6']","['2,640.4', '4,178.4', '3,432.8', '3,083.4', '3,288.2']","['21.1', '21.1', '21.2', '25.5', '25.5']",519.74,"9,484.6","2,909.7","1,886.8","12,578.6","3,288.2",25.5,코오롱글로벌,308827865500.0,018,건설업
8,8,9410,"['182.7', '568.4', '970.7', '3,111.3', '4,635.2']","['10,622.3', '11,786.8', '16,924.2', '26,375.9', '27,907.9']","['1,161.4', '1,661.5', '1,919.6', '2,523.9', '2,615.3']","['2,821.1', '3,236.7', '3,388.2', '3,758.3', '3,312.1']","['5,278.5', '5,001.3', '5,188.2', '6,314.1', '9,075.9']","['18,168.1', '18,326.4', '17,969.2', '21,144.6', '21,677.8']","['966.0', '920.6', '943.8', '913.2', '2,719.4']","['5,332.6', '5,397.0', '4,982.2', '5,878.8', '5,223.9']","['7,012.1', '10,117.7', '13,852.7', '20,602.5', '18,865.2']","['9,445.8', '7,354.3', '8,426.9', '12,564.0', '15,897.6']","['79.0', '79.0', '79.0', '79.0', '79.0']",1893.6599999999999,"27,907.9","2,719.4","5,223.9","18,865.2","15,897.6",79.0,태영건설,977920000000.0,018,건설업
9,9,1260,"['-404.3', '-509.2', '-93.0', '18.3', '111.4']","['2,087.3', '1,486.2', '1,126.4', '1,040.2', '990.1']","['69.1', '403.2', '91.0', '44.6', '12.4']","['211.7', '275.3', '271.3', '303.4', '378.1']","['1,506.3', '689.6', '716.8', '657.7', '562.6']","['3,168.2', '906.2', '632.6', '623.9', '498.9']","['8.3', '6.3', '161.5', '158.0', '155.6']","['2,669.1', '430.9', '304.8', '313.7', '189.7']","['2,404.3', '1,630.2', '1,164.2', '1,064.0', '938.1']","['3,510.4', '367.8', '188.2', '167.1', '59.8']","['8.3', '9.8', '9.8', '9.8', '9.8']",-175.36,990.1,155.6,189.7,938.1,59.8,9.8,남광토건,126773408400.0,018,건설업
